漢字,注音,日本語,english,español,sentence
這,ㄓㄜˋ,この;その,this;that,este;ese,我要買這個
那,ㄋㄚˋ,その;あの,that,ese,我不要那個
哪,ㄋㄚˇ,どの;どれ,which;where,cuál;dónde,你喜歡哪一個?
是,ㄕˋ,～だ;はい,to be;yes,ser;estar;sí,他是台灣人嗎?
有,ㄧㄡˇ,持っている;ある;いる,to have;to exist,tener;existir,你有護照嗎？
在,ㄗㄞˋ,いる;ある;存在する,to exist,existir,我在家裡
沒,ㄇㄟˊ,持っていない;ない,to not have;no,no tener;no,我沒有英日辭典
不,ㄅㄨˋ,～しない;～でない,to not~,no ~,他不吃牛肉
的,ㄉㄜ˙,～の,de particle,particula de,這是你的東西嗎？
嗎,ㄇㄚˊ,～か,question marker,marcador de pregunta,你好嗎?
什麼,ㄕㄣˊ ㄇㄜ˙,どうやって；なぜ；どんな,what,qué,捷運站怎麼走？
怎麼樣,ㄗㄣˇ ㄇㄜ˙ ㄧㄤˋ,どんな;どのように,how,cómo,這本小說怎麼樣？
要,ㄧㄠˋ,～がほしい;必要とする,to want to;to need to,querer;necesitar,我不要香菜
請,ㄑㄧㄥˇ,～してください;ごちそうする;招待する,please do~;to invite,por favor haga~;invitar,請慢用
